#Switch,Port,Peer-Device,Peer-Port,Blacklist,Comment
#switch,port,peerDevice,peerPort
sw-ib-c2f14-14-01,1,ru-c2e13-28-01,,0,
sw-ib-c2f14-14-01,2,ru-c2e13-29-01,,0,
sw-ib-c2f14-14-01,3,ru-c2e13-30-01,,0,
sw-ib-c2f14-14-01,4,ru-c2e13-34-01,,0,
sw-ib-c2f14-14-01,5,ru-c2e13-35-01,,0,
sw-ib-c2f14-14-01,6,,,0,
sw-ib-c2f14-14-01,7,,,0,
sw-ib-c2f14-14-01,8,,,0,
sw-ib-c2f14-14-01,9,bu-c2f16-21-01,,0,
sw-ib-c2f14-14-01,10,bu-c2e18-21-01,,0,
sw-ib-c2f14-14-01,11,bu-c2d38-19-01,,1,
sw-ib-c2f14-14-01,12,bu-c2d41-19-01,,0,
sw-ib-c2f14-14-01,13,,,0,
sw-ib-c2f14-14-01,14,,,0,
sw-ib-c2f14-14-01,15,,,0,
sw-ib-c2f14-14-01,16,,,0,
sw-ib-c2f14-14-01,17,,,0,
sw-ib-c2f14-14-01,18,,,0,
sw-ib-c2f14-14-01,19,sw-ib-c2f15-29-01,32,0,
sw-ib-c2f14-14-01,20,sw-ib-c2f15-29-01,34,0,
sw-ib-c2f14-14-01,21,sw-ib-c2f15-29-01,36,0,
sw-ib-c2f14-14-01,22,sw-ib-c2f15-27-01,32,0,
sw-ib-c2f14-14-01,23,sw-ib-c2f15-27-01,34,0,
sw-ib-c2f14-14-01,24,sw-ib-c2f15-27-01,36,0,
sw-ib-c2f14-14-01,25,sw-ib-c2f15-25-01,32,0,
sw-ib-c2f14-14-01,26,sw-ib-c2f15-25-01,34,0,
sw-ib-c2f14-14-01,27,sw-ib-c2f15-25-01,36,0,
sw-ib-c2f14-14-01,28,sw-ib-c2f15-23-01,32,0,
sw-ib-c2f14-14-01,29,sw-ib-c2f15-23-01,34,0,
sw-ib-c2f14-14-01,30,sw-ib-c2f15-23-01,36,0,
sw-ib-c2f14-14-01,31,sw-ib-c2f15-21-01,32,0,
sw-ib-c2f14-14-01,32,sw-ib-c2f15-21-01,34,0,
sw-ib-c2f14-14-01,33,sw-ib-c2f15-21-01,36,0,
sw-ib-c2f14-14-01,34,sw-ib-c2f15-19-01,32,0,
sw-ib-c2f14-14-01,35,sw-ib-c2f15-19-01,34,0,
sw-ib-c2f14-14-01,36,sw-ib-c2f15-19-01,36,0,
sw-ib-c2f14-44-01,1,ru-c2e15-28-01,,0,
sw-ib-c2f14-44-01,2,ru-c2e15-29-01,,0,
sw-ib-c2f14-44-01,3,ru-c2e15-30-01,,0,
sw-ib-c2f14-44-01,4,ru-c2e15-34-01,,0,
sw-ib-c2f14-44-01,5,ru-c2e15-35-01,,0,
sw-ib-c2f14-44-01,6,,,0,
sw-ib-c2f14-44-01,7,,,0,
sw-ib-c2f14-44-01,8,,,0,
sw-ib-c2f14-44-01,9,bu-c2f16-37-01,,1, # missing network card
sw-ib-c2f14-44-01,10,bu-c2e18-39-01,,0,
sw-ib-c2f14-44-01,11,bu-c2d38-37-01,,0,
sw-ib-c2f14-44-01,12,bu-c2d41-37-01,,0,
sw-ib-c2f14-44-01,13,,,0,
sw-ib-c2f14-44-01,14,,,0,
sw-ib-c2f14-44-01,15,,,0,
sw-ib-c2f14-44-01,16,,,0,
sw-ib-c2f14-44-01,17,,,0,
sw-ib-c2f14-44-01,18,,,0,
sw-ib-c2f14-44-01,19,sw-ib-c2f15-19-01,31,0,
sw-ib-c2f14-44-01,20,sw-ib-c2f15-19-01,33,0,
sw-ib-c2f14-44-01,21,sw-ib-c2f15-19-01,35,0,
sw-ib-c2f14-44-01,22,sw-ib-c2f15-21-01,31,0,
