source ID,size,sigma,FRL slot #,link #,subsystem,partition,frlpc
814,16384,0,1,0,GTPe,TRG,frlpc-s1d06-41-01.cms
23,2048,0,9,0,BPIX,BPIX3,frlpc-s1d06-32-01.cms
22,2048,0,10,0,BPIX,BPIX3,frlpc-s1d06-32-01.cms
21,2048,0,11,0,BPIX,BPIX3,frlpc-s1d06-32-01.cms
20,2048,0,12,0,BPIX,BPIX3,frlpc-s1d06-32-01.cms
19,2048,0,13,0,BPIX,BPIX3,frlpc-s1d06-32-01.cms
18,2048,0,14,0,BPIX,BPIX3,frlpc-s1d06-32-01.cms
17,2048,0,15,0,BPIX,BPIX3,frlpc-s1d06-32-01.cms
16,2048,0,16,0,BPIX,BPIX3,frlpc-s1d06-32-01.cms
31,2048,0,1,0,BPIX,BPIX4,frlpc-s1d06-32-01.cms
30,2048,0,2,0,BPIX,BPIX4,frlpc-s1d06-32-01.cms
29,2048,0,3,0,BPIX,BPIX4,frlpc-s1d06-32-01.cms
28,2048,0,4,0,BPIX,BPIX4,frlpc-s1d06-32-01.cms
27,2048,0,5,0,BPIX,BPIX4,frlpc-s1d06-32-01.cms
26,2048,0,6,0,BPIX,BPIX4,frlpc-s1d06-32-01.cms
25,2048,0,7,0,BPIX,BPIX4,frlpc-s1d06-32-01.cms
24,2048,0,8,0,BPIX,BPIX4,frlpc-s1d06-32-01.cms
7,2048,0,9,0,BPIX,BPIX1,frlpc-s1d06-33-01.cms
6,2048,0,10,0,BPIX,BPIX1,frlpc-s1d06-33-01.cms
5,2048,0,11,0,BPIX,BPIX1,frlpc-s1d06-33-01.cms
4,2048,0,12,0,BPIX,BPIX1,frlpc-s1d06-33-01.cms
3,2048,0,13,0,BPIX,BPIX1,frlpc-s1d06-33-01.cms
2,2048,0,14,0,BPIX,BPIX1,frlpc-s1d06-33-01.cms
1,2048,0,15,0,BPIX,BPIX1,frlpc-s1d06-33-01.cms
0,2048,0,16,0,BPIX,BPIX1,frlpc-s1d06-33-01.cms
15,2048,0,1,0,BPIX,BPIX2,frlpc-s1d06-33-01.cms
14,2048,0,2,0,BPIX,BPIX2,frlpc-s1d06-33-01.cms
13,2048,0,3,0,BPIX,BPIX2,frlpc-s1d06-33-01.cms
12,2048,0,4,0,BPIX,BPIX2,frlpc-s1d06-33-01.cms
11,2048,0,5,0,BPIX,BPIX2,frlpc-s1d06-33-01.cms
10,2048,0,6,0,BPIX,BPIX2,frlpc-s1d06-33-01.cms
9,2048,0,7,0,BPIX,BPIX2,frlpc-s1d06-33-01.cms
